Date,AAPL,MSFT,AMZN,NVDA,TSLA,BRK-B,GOOG,XOM,UNH,JPM,JNJ,META,V,PG,HD,MA,CVX,ABBV,MRK,LLY,AVGO,BAC,PEP,KO,PFE,COST,TMO,WMT,CSCO,MCD
1/3/2018,39.987053,86.138313,72.366997,57.348965,17.742001,199.479996,51.5895,57.511284,198.899475,94.926155,112.191772,159.789993,115.731094,69.282349,158.391617,170.473328,91.687225,74.865509,44.484051,70.609749,195.05127,26.88583,94.338928,37.044144,28.072903,176.067001,203.95105,81.195602,36.844784,139.010696
1/4/2018,39.386463,88.261787,78.306503,55.692303,19.593332,193.729996,50.866501,59.931671,220.44635,93.898941,110.738472,172,122.755051,63.217537,165.157623,173.500107,100.58741,76.368355,48.497829,73.98645,192.677124,26.923723,87.887741,37.181847,28.958836,184.224213,207.958145,81.211472,38.047462,148.842239
1/5/2018,44.536785,93.282669,81.481003,62.450176,18.982,191.529999,54.2495,62.621868,225.211426,92.8395,104.723991,191.779999,126.470238,64.534569,166.721603,185.296509,99.93618,79.069382,49.041546,77.60955,211.69957,26.131853,87.286964,37.001137,28.420954,185.233368,205.901749,75.776566,36.9851,142.237473
1/6/2018,44.287445,93.469017,84.989998,58.700165,22.863333,186.649994,55.782501,64.416756,228.783005,90.401596,107.017647,194.320007,128.349915,68.847458,175.339035,191.534149,102.535057,74.042641,50.005413,78.411209,203.779861,25.470615,95.664139,37.741161,28.977942,195.838165,204.784607,79.127106,37.262218,139.286224
1/7/2018,45.526745,100.549568,88.872002,60.672531,19.875999,197.869995,60.862999,63.466827,236.966492,99.728043,116.878044,172.580002,132.507095,71.334648,177.513947,192.976593,102.405289,73.706985,54.683887,90.798233,188.749954,27.901117,101.050591,40.482079,31.893309,204.956268,232.045471,82.434464,36.621403,140.931366
1/8/2018,54.460323,106.473709,100.635498,69.548187,20.110666,208.720001,60.9095,62.42345,251.228226,99.947266,118.791893,175.729996,142.342896,73.824318,180.434769,210.355515,96.071373,77.487221,56.941975,97.083611,186.417923,27.946301,98.423271,38.693672,33.163288,218.469437,236.567047,88.559547,41.689274,145.126968
1/9/2018,54.197556,108.824547,100.150002,69.670525,17.651333,214.110001,59.6735,66.882637,248.963638,98.429482,122.673256,164.460007,145.662445,74.073524,187.122864,217.235291,100.120163,76.356964,58.892899,99.153946,209.993576,26.618097,98.238747,40.10009,35.499779,220.655777,241.494308,87.261948,42.45726,150.587753
1/10/2018,52.545746,101.631111,79.900497,52.269005,22.488001,205.279999,53.838501,62.681854,245.399841,95.097321,124.289139,151.789993,133.783508,78.923943,158.875992,192.897446,91.416573,62.850395,61.526424,100.198082,191.642014,24.967289,99.565186,41.920841,34.686195,214.784271,231.335922,93.181007,39.926403,159.238312
1/11/2018,42.874981,105.51329,84.508499,40.517586,23.365334,218.240005,54.7215,62.540234,264.188599,97.669403,130.424088,140.610001,137.529663,84.855789,162.886765,196.442581,97.385445,76.920853,66.315811,109.622818,203.578369,25.784401,108.035042,44.127197,37.239735,217.273773,247.078522,90.737198,42.05899,169.689148
1/12/2018,38.003681,97.062691,75.098503,33.130451,22.186666,204.179993,51.780499,54.186802,234.663727,85.749489,115.305771,131.089996,128.277786,82.530365,156.136948,184.308411,89.945396,75.223633,63.866772,107.463081,218.044327,22.370689,97.881844,41.784626,35.432789,191.828293,221.573624,86.55574,38.07011,160.827133
1/1/2019,40.099731,99.795776,85.936501,35.674179,20.468,205.539993,55.818501,58.231533,254.520432,90.914497,118.906548,166.690002,131.262558,86.615585,166.778091,206.271057,94.790321,65.513695,62.647926,111.307686,232.447464,25.992409,100.614746,42.472946,34.458694,202.111359,243.408264,89.53196,41.549404,161.923035
1/2/2019,41.716351,107.058525,81.991501,38.282421,21.325333,201.300003,55.995998,62.800739,228.164108,92.414352,122.087395,161.449997,144.008652,89.182953,168.241119,219.976776,98.866356,65.449944,68.421982,117.278862,238.608475,26.549322,103.266968,40.01088,35.496586,205.981674,257.180267,92.484283,45.837753,166.505966
1/3/2019,45.96019,113.187584,89.037498,44.60701,18.657333,200.889999,58.665501,64.920097,232.911636,89.642639,125.730278,166.690002,152.11972,94.160187,174.375031,230.429016,102.866531,66.564995,70.004395,121.154404,260.575104,25.317591,110.32505,41.352222,34.776009,228.632721,271.200012,91.120232,47.803375,173.089569
1/4/2019,48.553989,125.337448,96.325996,44.964737,15.912667,216.710007,59.424,64.502289,220.383041,102.766266,126.998474,193.399994,160.144989,96.359215,186.485443,248.818329,100.261024,65.573837,66.699982,109.277985,278.368713,28.061323,115.276382,43.671585,33.252979,231.833588,275.097626,96.598221,49.538776,180.080658
1/5/2019,42.359821,118.696297,88.753502,33.651512,12.344,197.419998,55.181499,56.861328,228.637848,94.54921,117.959267,177.470001,157.125748,93.78598,173.805923,246.470673,95.075104,64.200325,67.12368,108.250931,220.002182,24.409134,115.231384,43.733894,33.998119,226.215515,264.716339,95.283226,46.359638,180.718674
1/6/2019,48.073021,129.037949,94.681503,40.845234,14.897333,213.169998,54.045502,62.275379,230.727493,99.760292,126.128731,193,169.287308,99.928398,190.394592,259.250397,104.94117,60.861015,71.055679,104.022781,251.668335,26.611464,118.049141,45.327282,35.786636,250.192673,291.189972,104.335258,48.765388,190.385895
